,stop_id,stop_lat,stop_lon
0,54009,0,0
1,54339,0,0
2,54329,0,0
3,54319,0,0
4,54101,0,0
5,66091,0,0
6,66031,0,0
7,66041,0,0
8,66051,0,0
9,66379,0,0
10,66359,0,0
11,62141,0,0
12,62059,0,0
13,62049,0,0
14,62039,0,0
15,62029,0,0
16,62019,0,0
17,70309,0,0
18,70299,0,0
19,70289,0,0
20,70279,0,0
21,70269,0,0
22,71161,0,0
23,71151,0,0
24,71141,0,0
25,71121,0,0
26,71131,0,0
27,71091,0,0
28,72021,0,0
29,72061,0,0
30,72071,0,0
31,84499,0,0
32,84489,0,0
33,84461,0,0
34,84471,0,0
35,84621,0,0
36,84611,0,0
37,84631,0,0
38,84601,0,0
39,75341,0,0
40,75061,0,0
41,76289,0,0
42,76129,0,0
43,76119,0,0
44,76051,0,0
45,75009,0,0
